1|2|1|307|299|293|293|4|17
2|2|2|173|145|145|130|3|18
3|2|3|422|419|419|395|5|5
4|2|4|349|325|325|320|4|1
5|2|5|449|432|432|428|5|12
6|2|6|424|416|391|391|5|16
7|2|7|477|445|445|427|5|8
8|2|8|298|297|297|292|4|14
9|2|9|338|332|310|310|4|2
10|2|10|330|326|326|315|4|3
11|2|11|168|145|145|137|3|10
12|2|12|494|459|445|445|5|6
13|2|13|153|128|111|111|3|15
14|2|14|355|353|353|345|4|13
15|2|15|329|311|311|287|4|11
16|2|16|375|346|327|327|4|4
17|2|17|131|118|100|100|3|9
18|2|18|501|494|479|479|5|7
19|3|1|150|146|146|146|3|14
20|3|2|485|483|477|477|5|7
21|3|3|475|453|444|444|5|6
22|3|4|444|426|426|402|5|16
23|3|5|463|432|432|430|5|11
24|3|6|486|456|456|448|5|4
25|3|7|360|337|326|326|4|3
26|3|8|140|120|99|99|3|5
27|3|9|325|307|298|298|4|17
28|3|10|367|335|335|318|4|8
29|3|11|415|383|383|374|4|2
30|3|12|400|372|356|356|4|10
31|3|13|384|362|362|350|4|18
32|3|14|140|126|124|124|3|15
33|3|15|310|292|279|279|4|1
34|3|16|131|125|108|108|3|12
35|3|17|400|367|352|352|4|13
36|3|18|318|313|313|299|4|9
