1|1|1|01-01-2022|55|1|7
2|1|1|01-01-2022|55|2|10
3|1|1|01-01-2022|55|3|8
4|1|1|01-01-2022|55|4|1
5|1|1|01-01-2022|55|5|3
6|1|1|01-01-2022|55|6|2
7|1|1|01-01-2022|55|7|4
8|1|1|01-01-2022|55|8|4
9|1|1|01-01-2022|55|9|4
10|1|1|01-01-2022|55|10|5
11|1|1|01-01-2022|55|11|6
12|1|1|01-01-2022|55|12|7
13|1|1|01-01-2022|55|13|6
14|1|1|01-01-2022|55|14|2
15|1|1|01-01-2022|55|15|6
16|1|1|01-01-2022|55|16|5
17|1|1|01-01-2022|55|17|8
18|1|1|01-01-2022|55|18|6
19|1|1|01-01-2022|55|1|6
20|1|1|01-01-2022|55|2|5
21|1|1|01-01-2022|55|3|10
22|1|1|01-01-2022|55|4|5
23|1|1|01-01-2022|55|5|9
24|1|1|01-01-2022|55|6|4
25|1|1|01-01-2022|55|7|6
26|1|1|01-01-2022|55|8|4
27|1|1|01-01-2022|55|9|7
28|1|1|01-01-2022|55|10|3
29|1|1|01-01-2022|55|11|5
30|1|1|01-01-2022|55|12|6
31|1|1|01-01-2022|55|13|3
32|1|1|01-01-2022|55|14|8
33|1|1|01-01-2022|55|15|8
34|1|1|01-01-2022|55|16|6
35|1|1|01-01-2022|55|17|4
36|1|1|01-01-2022|55|18|4
